rank,gene
1,XIST
2,ADARB1
3,SATB2
4,BCL11B
5,GRIK3
6,FSTL5
7,GULP1
8,CUX2
9,RORB
10,ALCAM
11,HTR1F
12,TOX
13,GRM1
14,SLIT2
15,CDH8
16,CHRM2
17,ND1
18,ADAMTS9.AS2
19,CDH9
20,KCNT2
21,CCBE1
22,SPHKAP
23,RMST
24,LOC105378031
25,SOX5
26,BDNF
27,NELL1
28,NTNG1
29,USP9Y
30,SGCZ
31,DSCAM
32,LOC105377390
33,ND2
34,ITGA8
35,HS3ST4
36,GRIN1
37,RIT2
38,PDE4B
39,ND3
40,KIRREL3
41,CDH20
42,ATP6V0C
43,DCC
44,LOC105377703
45,GRIN3A
46,PCSK1
47,L3MBTL4
48,PRKG1
49,C1orf56
50,WLS
51,CCDC85A
52,ND5
53,PRKD1
54,LOC100506860
55,LOC105369172
56,SEMA6D
57,NLGN4Y
58,CPNE8
59,PCDH9.AS2
60,RAB3A
61,SHISA9
62,DLC1
63,PDE1C
64,PHLDB2
65,RNR1
66,ADCY8
67,FTL
68,PTPRT
69,SNCB
70,GALNT18
71,LOC105374524
72,LOC105369863
73,CSGALNACT1
74,CNTN6
75,KCNH8
76,RPL41
77,LOC105373568
78,LOC105373896
79,LOC105369862
80,EPHA6
81,EEF1A1
82,ATP2B4
83,VGF
84,RPL26
85,SCN1B
86,PCSK1N
87,EEF1A2
88,ADAMTS16
89,SGCD
90,PLCH1
91,RERG
92,RPS4X
93,SNHG24
94,COBLL1
95,RYR3
96,EIF1
97,NPTX2
98,DLGAP1
99,NDUFA4
100,LOC105375988
101,KCNH7
102,SFMBT2
103,HSPA8
104,LOC100506076
105,EPHA3
106,SCN3B
107,UQCRB
108,SYNPR
109,TESPA1
110,MAP1A
111,TRPC6
112,TTTY14
113,ZNF804A
114,TMEM145
115,CDH13
116,PPIA
117,DGKB
118,FAM65B
119,CAMK2N2
120,KCNQ1OT1
121,PTPRO
122,ADRA1A
123,LOC105375688
124,SYNDIG1
125,FIGN
126,ZNF138
127,NAP1L3
128,CLU
129,ITPR2
130,TPT1
131,ACTG1
132,CNR1
133,ATP5B
134,ALDOA
135,CPLX2
136,EIF1B
137,VSTM2B
138,RPS24
139,UBC
140,RPS15
141,PLEKHB2
142,STX1B
143,CRYBG3
144,RASGRF1
145,CLEC2L
146,SRP14
147,NEFL
148,ATP1A3
149,KIF1A
150,GUK1
151,TUBB2A
152,ATP6
153,CHCHD10
154,TPI1
155,NEFM
156,KIAA0513
157,ATP6V1F
158,TMBIM6
159,ETV5
160,GABARAP
161,FXYD7
162,INA
163,SCRN1
164,ATP6V0E2
165,ND4L
166,TRPM3
167,NACA
168,UTY
169,TMSB4X
170,PLCXD3
171,ELAVL2
172,EIF1AX
173,NCDN
174,AFF2
175,ALDOC
176,CHGB
177,LOC101927335
178,ATP5G3
179,RPL32
180,ZBTB7A
181,EGR1
182,RPL13
183,LDHA
184,MAML3
185,CDS1
186,TUBG2
187,NCS1
188,ATP5A1
189,HINT1
190,GABARAPL2
191,H3F3B
192,FKBP8
193,IRS2
194,ARF1
195,ATP6V0B
196,CHCHD2
197,SPCS1
198,FGF14
199,CD81
200,PGAM1
201,KCNA1
202,SLC35F1
203,LYNX1
204,TUBB4A
205,RPS27A
206,CPLX1
207,PNMAL1
208,KLC2
209,SLC4A4
210,KCNA2
211,TUBB3
212,VAV3
213,TANC1
214,PTPRN
215,NCALD
216,USP11
217,ATP6V1G1
218,UBB
219,COX6A1
220,RHBDD2
221,HAPLN4
222,SCG2
223,SORCS3
224,SCOC
225,SPOCK1
226,PPP2R1A
227,SNN
228,SEZ6L2
229,ATP6AP2
230,NEUROD2
231,EID1
232,TCEB1
233,SYT13
234,B4GAT1
235,RHOB
236,GHITM
237,VAPB
238,KCNV1
239,SUCLA2
240,ND4
241,GRINA
242,LOC401134
243,PGRMC1
244,RBFOX1
245,NAP1L5
246,PLXDC2
247,CTXN1
248,VAMP1
249,PRDX2
250,RPL19
251,FEZ1
252,NAP1L2
253,ABAT
254,COL12A1
255,FAM217B
256,UQCR10
