rank,gene
1,Adarb2
2,Kcnip4
3,Vip
4,Npy
5,Rbfox1
6,Erbb4
7,Sst
8,Galntl6
9,Csmd1
10,Cntn5
11,X1700019L22Rik
12,Opcml
13,Lrrtm4
14,Mgat4c
15,Gad1
16,Gria1
17,Penk
18,Grip1
19,Etl4
20,Ptprd
21,Lrrc4c
22,Dpp10
23,Cntn4
24,Pdyn
25,Egfem1
26,Lrp1b
27,Synpr
28,Npas3
29,Camk1d
30,Robo1
31,Nxph1
32,Kirrel3
33,Cdh12
34,Gabrg3
35,Tac2
36,Grm7
37,Clstn2
38,Kctd16
39,Kcnc2
40,Cdh13
41,Ptprt
42,Cck
43,Lingo2
44,Cnr1
45,Asic2
46,Grin2a
47,Crh
48,Cacna2d3
49,Grik1
50,Dlgap2
51,Zfp804b
52,Cadps2
53,Unc5c
54,Tcf4
55,Cd83
56,Calb1
57,Csmd3
58,Pde1a
59,Chrm3
60,Cxcl14
61,Kcnq5
62,Slc6a1
63,Slc24a3
64,Dab1
65,Crhbp
66,Dock4
67,Brinp3
68,Rab3b
69,Pcdh7
70,Ncam2
71,Ptprm
72,Trhde
73,Col19a1
74,Thsd7a
75,Trps1
76,Ntrk3
77,Olfm3
78,Fam19a2
79,Egr1
80,Calb2
81,Sgcz
82,Sorcs1
83,Kcnt2
84,Sorcs3
85,Cntnap5a
86,Hdac9
87,Grm8
88,Gabrb2
89,Zmat4
90,Ano4
91,Kcnh7
92,Dner
93,Luzp2
94,Unc5d
95,Alk
96,Man1a
97,Zfp385b
98,Caln1
99,Edil3
100,Shisa9
101,Sox5
102,Kctd8
103,Grm1
104,Epha6
105,Ptprk
106,Rbp4
107,Nos1
108,Chsy3
109,Gad2
110,Limch1
111,Arpp21
112,Kcnmb2
113,Elavl2
114,Frmd5
115,Zfp536
116,Slc24a2
117,Sema5a
118,Dscaml1
119,X2900055J20Rik
120,Il1rap
121,Thrb
122,Elmo1
123,Pld5
124,Nr3c2
125,Sema6d
126,Cdh9
127,Col25a1
128,Dlx6os1
129,Rasgrf1
130,Zfp804a
131,Igf1
132,Cntnap5c
133,Adcy2
134,Unc13c
135,Kcnc1
136,Grin3a
137,Cntn6
138,Slit2
139,Cacna1e
140,Rbms3
141,Cplx3
142,Nfib
143,Spock1
144,Sema3e
145,A830018L16Rik
146,Kit
147,Galnt14
148,Ntng1
149,Dgkb
150,Atp6ap1l
151,Rgs6
152,Tenm4
153,Slc8a1
154,Tcap
155,Grik4
156,Vwc2l
157,Nov
158,Fstl4
159,Plcxd3
160,Cort
161,Mybpc1
162,Myo1e
163,Oxtr
164,Kcnip1
165,Cpne7
166,Ust
167,Pnoc
168,Spon1
169,Pth2r
170,Sel1l3
171,Lppr1
172,Prr16
173,Neto2
174,Cacng3
175,Cdh4
176,Ndst3
177,Tmem132d
178,Parm1
179,Esrrg
180,Stxbp6
181,Fam135b
182,X1700086L19Rik
183,Tox
184,Kif5c
185,Btbd11
186,Alcam
187,Fstl5
188,Pvalb
189,Htr3a
190,Pcdh8
191,Galnt18
192,Fibcd1
193,Sez6
194,Kcna1
195,Uchl1
196,Ctxn1
197,Slc44a5
198,Adra1b
199,Nkain3
200,Adra1a
201,Runx1t1
202,Rgs12
203,Trp53i11
204,Cpne4
205,Tmem132c
206,Crtac1
207,Fam49a
208,Fat3
209,Car10
210,Gpr176
211,Tenm3
212,Enpp2
213,Npas1
214,Afap1
215,Kcnn2
216,Slc35f4
217,Hunk
218,E530001K10Rik
219,Rimbp2
220,Rcn1
221,Snrpn
222,St8sia4
223,Bcar3
224,Prox1
225,Chst15
226,Fmn1
227,Ier5l
228,X9630002D21Rik
229,Srgap3
230,Slc18a3
231,Epha4
232,Adcyap1r1
233,Syt5
234,Gng7
235,Mme
236,Tox2
237,Hapln4
238,Snx7
239,Nts
240,Stxbp2
241,Lypd6
242,Cdh11
243,Ddn
244,Gpr12
245,Tspan13
246,March3
247,Sall1
248,Tle1
249,Oprm1
250,Syndig1
251,Wnt5a
252,Camk1
253,Sox2ot
254,Slc30a3
255,Brinp2
256,Arhgef28
