rank,gene
1,Vip
2,Lrrc4c
3,Sst
4,Adarb2
5,Kirrel3
6,Ptprt
7,Npy
8,Cntn5
9,Lrrtm4
10,Grin2a
11,Crh
12,Cd83
13,Kcnip4
14,Calb1
15,Pde1a
16,Sgcz
17,Lingo2
18,Penk
19,Zfp804b
20,Cdh7
21,Id2
22,Cdh12
23,Ncam2
24,Cacna2d3
25,Rgs4
26,Zmat4
27,Thsd7a
28,Elmo1
29,Ndst3
30,Pcdh8
31,Gabrg3
32,Nrgn
33,Clstn2
34,X1700019L22Rik
35,Egr1
36,Peak1
37,Zfp536
38,March1
39,Nell1
40,Moxd1
41,Sel1l3
42,Pdzrn3
43,Luzp2
44,Cck
45,Npas3
46,Nos1ap
47,Fam19a5
48,Opcml
49,Cacna1e
50,Nxph1
51,Nr4a1
52,Cxcl14
53,Gad1
54,Tac1
55,Lrp1b
56,Grip1
57,Arc
58,Cacna1g
59,Alcam
60,Mgat4c
61,Fxyd6
62,Man1a
63,Pcp4
64,Npas1
65,Uchl1
66,Dgki
67,Sorl1
68,Rgs10
69,Rbfox1
70,Gabrd
71,Unc5d
72,Col6a1
73,Kcna3
74,Th
75,Kcnj6
76,Agbl4
77,Egfem1
78,Epha4
79,Diras2
80,LOC105246327
81,Cntnap5c
82,Pcdh7
83,Mtss1
84,Olfm3
85,Pantr1
86,Rerg
87,Nov
88,Cdh13
89,Trpc6
90,Camk1d
91,Parm1
92,Stmn2
93,Dgkb
94,Slit2
95,Man1c1
96,Dusp14
97,Thy1
98,Ryr3
99,Nr4a3
100,Chst1
101,Thrb
102,Fgf1
103,Asic2
104,Nefm
105,Nfix
106,Snca
107,Crhbp
108,Ptpre
109,Ptprm
110,Rasl11a
111,A530058N18Rik
112,Dab1
113,Syt2
114,Cntn3
115,Kctd16
116,Adra1a
117,Fndc5
118,Mybpc1
119,Rasgrp1
120,Rgs6
121,Cdh8
122,Kcnf1
123,Gda
124,Npy2r
125,Cntnap5a
126,Tmsb10
127,Slit3
128,Blnk
129,Tcerg1l
130,Brinp3
131,Rab3b
132,Adcyap1r1
133,Spata2l
134,Vstm5
135,Pnoc
136,Itpka
137,Dennd2a
138,Tenm3
139,Cpne4
140,Galntl6
141,Numb
142,Bhlhe40
143,Lynx1
144,Deptor
145,Nkain3
146,Zfpm2
147,Stxbp2
148,Frmd5
149,Fam212b
150,Ptgs1
151,Kcnab3
152,St8sia4
153,Dpp10
154,Htr1f
155,Fabp3
156,Chrm2
157,Rxfp1
158,Oprd1
159,Grm1
160,Trhde
161,Cplx2
162,Sncg
163,Cdh18
164,Grm7
165,Smad3
166,Gng13
167,Gadd45b
168,Pdyn
169,Rasgrf1
170,Hapln4
171,Hlf
172,Fat1
173,Eps8
174,Ppfia4
175,Lix1
176,Nefl
177,Tle4
178,Sema3a
179,LOC102633357
180,Gprin3
181,Btbd11
182,Tmem132c
183,Skil
184,Hrh3
185,Gpr83
186,Slc6a1
187,Ptprk
188,Masp1
189,Plxna4
190,Ell2
191,Fam46a
192,Prkcg
193,Arpp21
194,Plcxd3
195,D030045P18Rik
196,Kcnd3
197,Gng4
198,Sema6d
199,Cartpt
200,Shisa8
201,Dlx1as
202,Car10
203,Prr16
204,Slit1
205,Baiap2
206,Nek7
207,Itga8
208,Cnn3
209,Grik1
210,Plxna2
211,Sox5
212,Cntnap3
213,Dynll2
214,Asap2
215,Mast3
216,Cntn4
217,Dpysl5
218,Drd1
219,Teddm3
220,Tpbg
221,Kcnq5
222,Lgals1
223,Zfp804a
224,Whrn
225,Egr4
226,Rpp25
227,Kcnc2
228,Cdh11
229,Sorcs1
230,Kit
231,Pcsk5
232,Col11a1
233,Nacc2
234,Nfib
235,Cdh9
236,Tcap
237,Rgs8
238,Ubash3b
239,Nts
240,Grik4
241,Tshz3
242,Cav2
243,Syt5
244,BC030500
245,Tuba8
246,X3110035E14Rik
247,Nrsn2
248,Nrip3
249,Sez6l
250,Il17ra
251,Igfbp6
252,Nr4a2
253,Cbln4
254,Foxp2
255,Il1rap
256,Pfkfb3
