rank,gene
1,Vip
2,Sst
3,Adarb2
4,Kirrel3
5,Npy
6,Pdyn
7,Grin2a
8,Kcnip4
9,Csmd1
10,Crh
11,Lrrtm4
12,Cd83
13,Calb1
14,Penk
15,Ptprt
16,Cntn5
17,Ncam2
18,Zfp804b
19,Sgcz
20,Zfp536
21,Id2
22,Lingo2
23,Thsd7a
24,Npas3
25,Nrgn
26,Zmat4
27,Elmo1
28,Cdh7
29,Ndst3
30,Pde1a
31,Cdh13
32,Gabrg3
33,Mgat4c
34,X1700019L22Rik
35,Clstn2
36,Rgs4
37,Egr1
38,Cntn4
39,Fam19a5
40,Pcdh8
41,Peak1
42,Luzp2
43,Mybpc1
44,Pcdh7
45,Fxyd6
46,Plxna4
47,Fam19a2
48,Pdzrn3
49,Cdh11
50,Cck
51,Nr4a1
52,Egfem1
53,Epha4
54,Sel1l3
55,Rasgrp1
56,Cxcl14
57,Grm1
58,Nell1
59,Cdh18
60,Rgs10
61,Arc
62,Dab1
63,Kcna3
64,Mtss1
65,Opcml
66,Grm7
67,Nfix
68,Kcnd3
69,Thy1
70,Cacna1g
71,Man1a
72,Kcnh1
73,Nefm
74,Sema5a
75,Diras2
76,Sema6d
77,Rbp4
78,Cdh8
79,Pcp4
80,Galnt14
81,Dennd2a
82,Kcnmb2
83,Zfpm2
84,Kcnj6
85,Cpne4
86,Cpne6
87,Htr1f
88,Kcna1
89,Rxfp1
90,Olfm3
91,Gng7
92,Gabrd
93,Dgki
94,Cplx2
95,Sema3a
96,Ldlrad4
97,Numb
98,Trpc6
99,Cdh9
100,Arhgef3
101,Nos1ap
102,Nxph1
103,Ubash3b
104,Fgf1
105,Uchl1
106,Grik1
107,Vwc2
108,LOC105246327
109,Kcnf1
110,Agbl4
111,Man1c1
112,Adra1a
113,Dgkb
114,Arpp21
115,Fstl4
116,Elavl2
117,Dlx1as
118,Unc5c
119,Cnn3
120,Ngef
121,Tcerg1l
122,Lrp1b
123,Ppfia4
124,Cdh4
125,Dpysl5
126,Gng4
127,Slc24a3
128,Ifitm10
129,Cntn3
130,Mmp17
131,Egfr
132,Timp2
133,Gad2
134,Akap13
135,Fam46a
136,Etl4
137,Thrb
138,Cort
139,Rcan2
140,Runx1t1
141,Sorl1
142,Baiap2
143,Mpped1
144,Samd5
145,Dpp10
146,Oprd1
147,Csmd2
148,Slit2
149,Kcnc1
150,Zfp804a
151,Apbb2
152,Fndc5
153,Il1rap
154,Vstm5
155,Hlf
156,Ak5
157,Nacc2
158,Hrh3
159,Slc44a5
160,Crhbp
161,Ptprm
162,Wipf3
163,March11
164,Clstn1
165,Fat1
166,Cntnap5c
167,Arl4c
168,Ell2
169,Lynx1
170,Sema3e
171,Rasd2
172,Fhod3
173,Cdh20
174,Nefl
175,Vwc2l
176,Rab3b
177,Dscaml1
178,Pip5k1b
179,Egr4
180,Gabrb2
181,Mical2
182,Slc24a2
183,Tox
184,Col6a1
185,Ctxn1
186,Th
187,Cntnap5a
188,Miat
189,Ildr2
190,Skil
191,Galnt9
192,Kcnab1
193,Klf3
194,Chst1
195,Spock1
196,Grin3a
197,Btbd11
198,A530058N18Rik
199,Grip1
200,Dock4
201,Trhde
202,Rasgrf1
203,Lix1
204,Efna5
205,Sorcs2
206,Kcns3
207,Kcnip1
208,Tshz3
209,Pcsk5
210,Slit3
211,Lama4
212,Rgs6
213,Tpbg
214,Kit
215,Rims3
216,Rasl11a
217,Syt2
218,Shisa8
219,Cdh12
220,Blnk
221,Htr3a
222,Fam212b
223,Asic2
224,Eps8
225,Tenm3
226,Nkain3
227,Enpp2
228,Tmem132c
229,St8sia4
230,N28178
231,Sphkap
232,Hapln4
233,Nrip3
234,Camk2n2
235,Tox3
236,Cacna2d3
237,Adcy1
238,Tenm4
239,Neto1
240,Gadd45b
241,Prr16
242,A830018L16Rik
243,Nmnat2
244,Ptpre
245,Plxna2
246,Syt7
247,Gng2
248,Sptb
249,Adcyap1r1
250,Gse1
251,Slc6a1
252,Prkcg
253,Itga8
254,Vstm2b
255,Dusp10
256,Grm8
