rank,gene
1,Slc32a1
2,Shisa9
3,X5730522E02Rik
4,Rfx3
5,Bcl11b
6,Lhx6
7,Sertm1
8,Hs3st5
9,Sema3e
10,Cdh13
11,Trpc4
12,Thsd7a
13,Olfm3
14,Flrt3
15,Tenm3
16,Igfbp4
17,Luzp2
18,Fam19a2
19,Sst
20,Egln3
21,Acta2
22,Vip
23,Cntnap5b
24,Nkain3
25,Calb1
26,Slc44a5
27,Tmtc2
28,Rgs6
29,Phactr2
30,Nr4a1
31,Plch1
32,Wipf3
33,Trp53i11
34,Ano4
35,Igfbp5
36,Parm1
37,Myh14
38,Grin3a
39,Prr16
40,Lypd1
41,Cemip
42,Tac2
43,Trpc6
44,Plcxd3
45,Adra1b
46,Pcdh8
47,Chn2
48,Grm1
49,Sgcd
50,Chrm2
51,Penk
52,Barx2
53,Cdh9
54,Nhs
55,Egfem1
56,Ptprt
57,Pld5
58,Ptpru
59,Unc5d
60,Brinp3
61,Nos1
62,Reln
63,Grm8
64,Sema5a
65,Cdh20
66,Pou3f3
67,Cux2
68,Cdh12
69,Iqgap2
70,Spon1
71,Rab3b
72,Marcksl1
73,Gpc6
74,Cbln2
75,Il1rapl2
76,Fosb
77,Rnf152
78,Syndig1
79,Alk
80,Prss12
81,Rxfp1
82,Egr2
83,Gad1
84,Vwc2
85,Cacng5
86,Col25a1
87,Slc30a3
88,Dscaml1
89,Cd24a
90,St6galnac5
91,Cxcl14
92,Slc17a6
93,Ubash3b
94,Zfp804b
95,Itgb8
96,Inpp4b
97,Syt10
98,Nnmt
99,Cbln4
100,Ramp1
101,Tox
102,Sp8
103,Ust
104,Tmem163
105,Nr4a2
106,Rspo1
107,Prss23
108,Elfn1
109,Lamp5
110,Ptprm
111,Lmo1
112,Ccdc80
113,Il4ra
114,Pou6f2
115,Camk2d
116,Rorb
117,Pxdc1
118,Prdm8
119,Thbs2
120,Pdgfc
121,Calb2
122,Bdnf
123,Epha7
124,Pvalb
125,Ccdc3
126,Nxph2
127,Blnk
128,Kcng1
129,Tunar
130,Pou3f1
131,Npnt
132,Ptger3
133,Dmkn
134,Tcap
135,Wnt7b
136,Npas1
137,Cnr1
138,Unc13c
139,Egfr
140,Npy2r
141,Foxp2
142,Cdca7
143,Col24a1
144,Nxph1
145,Ikzf2
146,Timp3
147,Ccbe1
148,Ptprk
149,Grik1
150,Syt6
151,Gad2
152,Col15a1
153,Glra1
154,Nr2f2
155,Ndst4
156,Rerg
157,Adamts2
158,Rgs5
159,Tnfaip6
160,Meis2
161,C1ql3
162,Lama3
163,Teddm3
164,Pdlim5
165,Moxd1
166,Sulf1
167,L3mbtl4
168,Cplx3
169,Lyzl4
170,Ntng2
171,Unc5b
172,Sulf2
173,Lsp1
174,Rxfp2
175,Tbc1d4
176,Serpinf1
177,Fst
178,Fezf2
179,Adamts4
180,Fam84b
181,Th
182,Slc25a13
183,Crispld2
184,Frem2
185,Satb2
186,Fbxl7
187,Pdgfra
188,Ceacam9
189,Asic4
190,Car3
191,Pde11a
192,Mrc1
193,Crhr2
194,B4galnt3
195,Bmpr1b
196,Npsr1
