rank,gene
1,Gad1
2,Calb1
3,Vip
4,Lamp5
5,Sst
6,Cxcl14
7,Penk
8,Cdh13
9,Igfbp4
10,Olfm3
11,Sema3e
12,Tac2
13,Luzp2
14,Marcksl1
15,Flrt3
16,Calb2
17,Ptprt
18,Epha7
19,Fam19a2
20,Hs3st5
21,Nr4a1
22,Thsd7a
23,Rfx3
24,Trpc4
25,Prr16
26,Syndig1
27,Cd24a
28,Parm1
29,Chn2
30,Trp53i11
31,Trpc6
32,Plcxd3
33,Rspo1
34,Rgs6
35,Grm8
36,Cbln4
37,Reln
38,Rxfp1
39,Cdh9
40,Cdh12
41,Igfbp5
42,Sertm1
43,Grin3a
44,Camk2d
45,Sema5a
46,Lypd1
47,Pcdh8
48,Brinp3
49,Th
50,Egln3
51,Spon1
52,Chrm2
53,Rab3b
54,Prss12
55,Ramp1
56,Col25a1
57,Shisa9
58,Bdnf
59,Cplx3
60,Cbln2
61,Cacng5
62,Wipf3
63,Pld5
64,Prss23
65,Iqgap2
66,St6galnac5
67,Nkain3
68,Slc30a3
69,Grm1
70,Blnk
71,Gpc6
72,Il1rapl2
73,Nxph1
74,Ano4
75,Grik1
76,Phactr2
77,Unc5d
78,Slc17a6
79,Adra1b
80,Ptprm
81,Npas1
82,Tcap
83,Pxdc1
84,Rerg
85,Ccdc3
86,Egr2
87,Tmem163
88,Nnmt
89,Nxph2
90,Ubash3b
91,Vwc2
92,Lmo1
93,Moxd1
94,Sulf2
95,Timp3
96,Npy2r
97,Ust
98,Tox
99,Nos1
100,Egfem1
101,Thbs2
102,Ptpru
103,Lsp1
104,Cnr1
105,Dmkn
106,Meis2
107,Egfr
108,Tnfaip6
109,Rnf152
110,Inpp4b
111,Kcng1
112,Nr4a2
113,Serpinf1
114,Pvalb
115,Dscaml1
116,Slc17a8
117,Pou3f3
118,Cntnap5b
119,Nr2f2
120,Syt6
121,Myh14
122,Chat
123,Ptprk
124,Fezf2
125,Sncg
126,Prdm8
127,Bcl11b
128,Rorb
129,Pde11a
130,Ptger3
131,Ccdc80
132,Cux2
133,Sp8
134,Plch1
135,Slc44a5
136,Npnt
137,Foxp2
138,Chrna2
139,Itgb8
140,Teddm3
141,X5730522E02Rik
142,Ndst4
143,Elfn1
144,Fosb
145,Zfp804b
146,Lhx6
147,Il4ra
148,Tenm3
149,Asic4
150,Pdgfra
151,Adamts2
152,Unc13c
153,Nhs
154,Gad2
155,Col24a1
156,Sgcd
157,Sox6
158,Satb2
159,Tmtc2
160,Cdh20
161,Prox1
162,C1ql3
163,Wnt7b
164,Pou6f2
165,Alk
166,Syt10
167,Crispld2
168,Rxfp2
169,Clrn1
170,Ceacam9
171,Rgs5
172,Plekhg3
173,Osr1
174,Ankfn1
175,Pdgfc
176,Prokr2
177,Prok2
178,Unc5b
179,Crhr2
180,Pou3f1
181,Sulf1
182,Fst
183,Otof
184,Cdca7
185,Tunar
186,Pdlim5
187,Car3
188,Oprk1
189,Col15a1
190,Cemip
191,Slc17a7
192,Lyzl4
193,Tbc1d4
194,Dnase1l3
195,Cdcp1
196,Barx2
