rank,gene
1,Slc32a1
2,Rfx3
3,Sema3e
4,Olfm3
5,Dscaml1
6,Lhx6
7,Vip
8,Fezf2
9,Trpc4
10,X5730522E02Rik
11,Igfbp5
12,Flrt3
13,Grm1
14,Hs3st5
15,Nr4a1
16,Brinp3
17,Pou3f3
18,Egfem1
19,Acta2
20,Sst
21,Epha7
22,Ptprt
23,Shisa9
24,Rgs6
25,Nr4a2
26,Sertm1
27,Cdh13
28,Ano4
29,Phactr2
30,Fosb
31,Tox
32,St6galnac5
33,Spon1
34,Penk
35,Parm1
36,Tenm3
37,Lmo1
38,Cbln2
39,Calb1
40,Prr16
41,Marcksl1
42,Thsd7a
43,Sema5a
44,Igfbp4
45,Cdh12
46,Prss12
47,Col25a1
48,Itgb8
49,Iqgap2
50,Fam19a2
51,Cdh9
52,Chn2
53,Myh14
54,Trp53i11
55,Grm8
56,Adra1b
57,Rxfp1
58,Cbln4
59,Unc5d
60,Lamp5
61,Chrm2
62,Pcdh8
63,Sulf2
64,Tunar
65,Wipf3
66,Ptpru
67,Nos1
68,Trpc6
69,Syndig1
70,Plcxd3
71,Luzp2
72,Cdh20
73,Reln
74,Rab3b
75,Il1rapl2
76,Egr2
77,Ust
78,Pxdc1
79,Tac2
80,Tmtc2
81,Ubash3b
82,Grik1
83,Tmem163
84,Cplx3
85,Sp8
86,Cnr1
87,Slc44a5
88,Cd24a
89,Zfp804b
90,Npnt
91,Ccdc80
92,Barx2
93,Ramp1
94,Cux2
95,Ptprk
96,Lypd1
97,Bcl11b
98,Rnf152
99,Prss23
100,Grin3a
101,Prdm8
102,Pou3f1
103,Slc30a3
104,Vwc2
105,Thbs2
106,Gad1
107,Bdnf
108,Meis2
109,Tshz2
110,Npy2r
111,Nhs
112,Syt10
113,Dmkn
114,Cemip
115,Ptprm
116,Cacng5
117,Nkain3
118,Nnmt
119,Cxcl14
120,Blnk
121,Inpp4b
122,Kcng1
123,Gpc6
124,Fst
125,Pou6f2
126,Rerg
127,Elfn1
128,Calb2
129,Pld5
130,Alk
131,Tcap
132,Timp3
133,C1ql3
134,Tnfaip6
135,Pvalb
136,Camk2d
137,Syt6
138,Moxd1
139,Gad2
140,Egfr
141,Egln3
142,Col15a1
143,Ccdc3
144,Rspo1
145,Nr2f2
146,Slc17a6
147,Col24a1
148,Cntnap5b
149,Crispld2
150,Rorb
151,Teddm3
152,Npas1
153,Nxph1
154,Otof
155,Osr1
156,Ptger3
157,Col23a1
158,Adamts2
159,Unc13c
160,Unc5b
161,Sulf1
162,Foxp2
163,Asic4
164,Pdgfc
165,Crhr2
166,Rgs5
167,Sgcd
168,Bmpr1b
169,Wnt7b
170,Prox1
171,Nxph2
172,Tbc1d4
173,Plch1
174,Dnase1l3
175,Slc25a13
176,Hpse
177,Slc17a7
178,C1qtnf7
179,Satb2
180,Pdlim5
181,Cobll1
182,Pde11a
183,Lsp1
184,Chrna2
185,Fam84b
186,Lama3
187,Pdgfra
188,B4galnt3
189,Npsr1
190,Prok2
191,Vtn
192,Ntng2
193,Fbxl7
194,Adamts4
195,Ror1
196,Cdca7
