rank,gene
1,Gad1
2,Calb1
3,Vip
4,Penk
5,Lamp5
6,Sst
7,Cxcl14
8,Olfm3
9,Rab3b
10,Nr4a2
11,Flrt3
12,Igfbp4
13,Epha7
14,Cbln4
15,Cdh13
16,Calb2
17,Marcksl1
18,Sema3e
19,Chn2
20,Rfx3
21,Ptprt
22,Syndig1
23,Nr4a1
24,Tac2
25,Shisa9
26,Brinp3
27,Spon1
28,Trpc4
29,Cdh9
30,Luzp2
31,Grm1
32,Rgs6
33,Grm8
34,Cbln2
35,Trp53i11
36,Cdh12
37,Plcxd3
38,St6galnac5
39,Egfem1
40,Bdnf
41,Prr16
42,Fam19a2
43,Thsd7a
44,Parm1
45,Rxfp1
46,Camk2d
47,Wipf3
48,Cplx3
49,Prss23
50,Chrm2
51,Igfbp5
52,Reln
53,Pcdh8
54,Sema5a
55,Ubash3b
56,Cnr1
57,Iqgap2
58,Cd24a
59,Sulf2
60,Prss12
61,Col25a1
62,Pou3f3
63,Blnk
64,Hs3st5
65,Grik1
66,Lmo1
67,Unc5d
68,Trpc6
69,Egr2
70,Npy2r
71,Ramp1
72,Ano4
73,Slc30a3
74,Ptprk
75,Tnfaip6
76,Dscaml1
77,Ust
78,Il1rapl2
79,Grin3a
80,Npas1
81,Pvalb
82,Tox
83,Fosb
84,Pxdc1
85,Lypd1
86,Tmem163
87,Rspo1
88,Tenm3
89,Thbs2
90,Nos1
91,Rerg
92,Dmkn
93,Nxph1
94,Adra1b
95,Ptpru
96,Syt6
97,Pld5
98,Slc17a6
99,Vwc2
100,Cacng5
101,Tcap
102,Timp3
103,Ccdc3
104,Moxd1
105,Sertm1
106,Crispld2
107,Meis2
108,Nxph2
109,Ptprm
110,Tshz2
111,Npnt
112,Fst
113,C1ql3
114,Nr2f2
115,Ccdc80
116,Nnmt
117,Elfn1
118,Phactr2
119,Tunar
120,Th
121,X5730522E02Rik
122,Sulf1
123,Bcl11b
124,Prdm8
125,Prox1
126,Lsp1
127,Chat
128,Egfr
129,Rnf152
130,Gad2
131,Itgb8
132,Syt10
133,Kcng1
134,Pou3f1
135,Col24a1
136,Egln3
137,Alk
138,Rgs5
139,Cdh20
140,Ndst4
141,Gpc6
142,Otof
143,Lhx6
144,Unc13c
145,Rorb
146,Slc44a5
147,Fezf2
148,Chrna2
149,Teddm3
150,Pde11a
151,Foxp2
152,Satb2
153,Inpp4b
154,Nkain3
155,C1qtnf7
156,Asic4
157,Sp8
158,Zfp804b
159,Tmtc2
160,Myh14
161,Serpinf1
162,Plch1
163,Slc32a1
164,Sncg
165,Barx2
166,Ptger3
167,Pdlim5
168,Clrn1
169,Slc17a7
170,Cux2
171,Nhs
172,Ror1
173,Col23a1
174,Pdgfra
175,Cntnap5b
176,Osr1
177,Corin
178,Adamts2
179,Pdgfc
180,Pou6f2
181,Crhr2
182,Ankfn1
183,B4galnt3
184,Glra1
185,X5031425F14Rik
186,Nxph4
187,Cemip
188,Prokr2
189,Daam2
190,Slc17a8
191,Col15a1
192,Plekhg3
193,Scgn
194,Cspg4
195,Cdca7
196,Slc25a13
