rank,gene
1,Slc32a1
2,Chn2
3,Gpc3
4,Fezf2
5,Tcap
6,Lhx6
7,Crym
8,Bcl11b
9,Sncg
10,Meis2
11,Xist
12,Il1rapl2
13,Lypd1
14,Reln
15,Galnt14
16,Sema3e
17,Sema5a
18,Rxfp1
19,Stxbp6
20,Thsd7a
21,Cbln2
22,Cdkn1a
23,Ptprt
24,Ackr3
25,Cdh13
26,Taf10
27,Egln3
28,Fosl2
29,Marcksl1
30,Luzp2
31,Cpne7
32,Pde1a
33,Nptx2
34,Kirrel3
35,Ube2v1
36,Fos
37,Nell1
38,Ormdl3
39,Slc18a3
40,Brinp3
41,X1110008F13Rik
42,Htr1f
43,Cbln4
44,Scn4b
45,Inpp4b
46,Syndig1
47,Arfgap2
48,Crls1
49,Hrh3
50,Blnk
51,Sp8
52,Tmem215
53,Cdh12
54,Smap1
55,Cntnap5a
56,Fosb
57,Tollip
58,Rspo1
59,Ddx3y
60,Serpine2
61,Irs2
62,Sema5b
63,Fxyd6
64,Glg1
65,Egln2
66,Spry4
67,Trappc12
68,Eif3b
69,LOC105243853
70,Clvs1
71,Mybpc1
72,Ankrd34a
73,Zfp771
74,Dolk
75,Lin7a
76,Thop1
77,Lingo2
78,Tmem163
79,Rundc1
80,Txndc5
81,Ppp2r5a
82,Opa3
83,Gne
84,Kcna3
85,Nploc4
86,Selo
87,Atp13a1
88,Kctd10
89,Gm11418
90,LOC105242619
91,Necab1
92,Siah2
93,Gabrd
94,Dnajc14
95,Mlycd
96,Champ1
97,Ntm
98,Rab3b
99,Adcy3
100,Spock3
101,Igfbp4
102,Zfp318
103,Egr2
104,Ogdhl
105,Cdh9
106,Rbm15b
107,Adcy2
108,Paqr4
109,Pacsin2
110,Aar2
111,Cactin
112,Lrrc41
113,Ier5l
114,Nos1
115,Igfn1
116,Gpc1
117,Parm1
118,Rbm14
119,Nefh
120,Pcdhac2
121,Abhd17c
122,St6galnac5
123,Rgs6
124,Vps39
125,Mogs
126,Nr4a2
127,LOC105246134
128,Foxk2
129,Syt17
130,Prep
131,Slc7a5
132,Arhgap31
133,Wdr24
134,Lrrc14
135,Dclk3
136,Sidt2
137,Htr2c
138,Cox15
139,Tysnd1
140,Mcat
141,E130309D02Rik
142,Clstn2
143,Xxylt1
144,Elac2
145,Usp12
146,Dgcr14
147,Carm1
148,Fitm2
149,Slc2a8
150,Iqgap2
151,Jade1
152,Kdm5d
153,Fam19a2
154,Cables2
155,Ccdc22
156,Cog2
157,Adck3
158,Syt12
159,Kcns1
160,Efna3
161,Mief1
162,Pomgnt2
163,Atp8a2
164,X2510039O18Rik
165,Zfp251
166,Kcng1
167,Usp20
168,Tbc1d20
169,Chrna5
170,Pfkfb3
171,Gorasp1
172,Sgcz
173,C030013G03Rik
174,Bid
175,LOC105246694
176,Asic1
177,Efemp1
178,X2810408M09Rik
179,Nab2
180,Gpr3
181,Pcx
182,Chrm2
183,Syt2
184,Sphk2
185,Dars2
186,Spire2
187,Car10
188,Prdm4
189,Kcnj12
190,D8Ertd82e
191,Rprm
192,Asnsd1
193,Tmem43
194,Tbc1d14
195,Pdlim1
196,Alcam
197,Stam2
198,Tnip1
199,Plcg1
200,Paqr9
201,Mgat4b
202,Hs6st2
203,Fam118a
204,Ehd1
205,Aen
206,Pik3r4
207,Mknk1
208,Gdpd5
209,Cpne8
210,Poc5
211,Klhl17
212,Gas2l1
213,Cntnap4
214,Icmt
215,Adcyap1
216,Qpctl
217,Yipf2
218,Med16
219,Snta1
220,Rtn4ip1
221,Enpp4
222,Htr2a
223,Cthrc1
224,Mapkapk2
225,Rspo2
226,Rasl10a
227,Sarm1
228,Abcb6
229,D230025D16Rik
230,Ippk
231,Uty
232,Mas1
233,Gm15738
234,Gyk
235,Pcdh8
236,Trib1
237,Oprl1
238,Uhmk1
239,Fam19a1
240,Pla2g15
241,Plcxd3
242,Slc25a29
243,Adpgk
244,Ppp1r3f
245,Thap4
246,Osgin2
247,Ttc30b
248,Parva
249,Ulk3
250,Adck2
251,Cxxc1
252,Wfdc18
253,Ctc1
254,Ngf
255,Zgpat
256,Npy
