rank,gene
1,Gad1
2,Vip
3,Calb1
4,Cck
5,Lamp5
6,Cxcl14
7,Crym
8,Sst
9,Penk
10,Rab3b
11,Pde1a
12,Pcp4
13,Fos
14,Ndnf
15,Fxyd6
16,Xist
17,Hras
18,Npy
19,Igfbp4
20,Atp1a3
21,Lypd1
22,Th
23,Nptx2
24,Rnr1
25,Luzp2
26,Podxl2
27,Necab1
28,Meg3
29,Calb2
30,Rcan2
31,Crhbp
32,Flywch1
33,C1qtnf4
34,Marcksl1
35,Alcam
36,Tpi1
37,Cdkn1a
38,Plekhb2
39,Lars2
40,Thsd7a
41,Gm1821
42,Kcnq1ot1
43,Cbln2
44,Calm2
45,Cdh13
46,Ptov1
47,Cplx1
48,Hspa8
49,Tollip
50,Cox6c
51,Nr4a2
52,Pcsk1n
53,Snhg11
54,Pkm
55,Ppia
56,Rn18s.rs5
57,Ubb
58,Glg1
59,Ptprt
60,Ppp2ca
61,Adcyap1
62,Clstn3
63,Slc18a3
64,LOC105246107
65,Ndufa4
66,Jund
67,Hpca
68,Arc
69,Tceb2
70,Usmg5
71,Grp
72,Ndrg4
73,Fam19a1
74,Rnr2
75,Gm13509
76,Blnk
77,Mdh1
78,Malat1
79,Synpr
80,Ube2m
81,Kifc2
82,Cdr1
83,Atp6v0c
84,Syndig1
85,Rap1gds1
86,Lamp1
87,Pcsk1
88,Cox7a2
89,Cct6a
90,Pcp4l1
91,Arhgef4
92,Cox8a
93,Nxph1
94,Cox6b1
95,Bex2
96,Syt2
97,X0610012G03Rik
98,Rpn1
99,Rspo1
100,Sncg
101,Ap2a1
102,Cox4i1
103,Nceh1
104,Clptm1l
105,Cox6a2
106,Cd34
107,Dynlrb1
108,Pfkl
109,Atp5j2
110,Tmem179
111,Fam69b
112,Ppp2r5b
113,Rpl41
114,S100b
115,Cox7b
116,A230073K19Rik
117,Vgf
118,Calm1
119,Ncam2
120,X1700020I14Rik
121,Elmod1
122,Tmem151a
123,Gm11223
124,Svop
125,Gpr88
126,Nefm
127,Atp5k
128,Fth1
129,Car4
130,Ndfip1
131,Srxn1
132,Map1lc3a
133,Uqcrb
134,Stk32c
135,Gabrb2
136,Wars
137,Eif1
138,Rragc
139,Cox6a1
140,Chpf
141,Cyfip2
142,Kcnip4
143,LOC102631912
144,Zwint
145,Sub1
146,Chmp1a
147,Sepw1
148,Wnt5b
149,Pls3
150,Arhgap25
151,Vps52
152,Zcchc12
153,Uqcrq
154,Gas6
155,Rps27
156,Psip1
157,Chchd2
158,Gapdh
159,B4galnt1
160,Hint1
161,Taf10
162,Pik3r2
163,LOC105242387
164,Aldoc
165,Selk
166,Gabbr2
167,Atp6v1e1
168,Cox5b
169,Itm2b
170,Anxa6
171,Ostn
172,Lrrn2
173,Fosb
174,Rps29
175,Cplx3
176,Wbp5
177,Kcnab1
178,H3f3b
179,Cpne6
180,Serpini1
181,Atp5h
182,Atp5c1
183,Gnal
184,Galnt9
185,Hcn1
186,Ckb
187,Cox7c
188,Usp9x
189,Cfl1
190,Tmsb10
191,Atp5j
192,Epb4.1l3
193,Aldoa
194,Pcyox1
195,Tmem160
196,Kcna2
197,Bap1
198,Ndufa3
199,Tmsb4x
200,Srsf5
201,Sncb
202,Kcna1
203,Cpt1c
204,Rtn1
205,Rars
206,Myl12b
207,Ndufs5
208,Ogt
209,Vps11
210,Oaz1
211,Slc17a6
212,Ndufa13
213,Syt17
214,Nckipsd
215,X5730455P16Rik
216,Rplp2
217,Hsbp1
218,Dmkn
219,Bag1
220,Atp5g3
221,Copb2
222,Vsnl1
223,Morf4l1
224,Dpp6
225,Adap1
226,Kctd2
227,Eif2ak1
228,Etv1
229,Ubl5
230,Rpl38
231,Slc23a2
232,Tac1
233,Kcns3
234,Stmn1
235,Grm8
236,Myl6
237,Ppp2r1a
238,Ypel3
239,Ap1b1
240,Afg3l2
241,Rpl37
242,Rgs4
243,Scg5
244,Rps25
245,Pclo
246,Nell2
247,Crispld2
248,Skp1a
249,Calu
250,Serpine2
251,Ddx3y
252,Ndufc2
253,Ptma
254,Aars
255,Ahi1
256,Grcc10
